k,paa,ptt,pab,qab,pbb,npix_aa,npix_tt,npix_ab,z
0.006683439175686149,39.108730424904095,32.01346666607502,21.11946895740844,-1.0889396864624938,,233.0,48.0,28.0,3.4
0.008576958985908946,32.91676572319958,37.12361748428726,23.781359667792277,1.2621113978627407,,291.0,55.0,50.0,3.4
0.011006941712522098,29.941625228605503,31.63298244306003,18.111994836666142,-3.609098946046289,,360.0,83.0,55.0,3.4
0.01412537544622754,23.492974036776484,20.889913273860365,12.11201610614954,-1.2146264600663665,,432.0,94.0,80.0,3.4
0.018127308811846987,21.31074713152667,18.043453605356472,9.710854021018495,0.37617565687438836,,600.0,129.0,103.0,3.4
0.02326305067153626,16.585967525651803,13.080868316977801,8.05354043935443,-0.06162276018221329,,769.0,166.0,123.0,3.4
0.029853826189179603,11.562757524047424,9.696615624344279,4.496066013279293,0.4665873679878865,,937.0,203.0,151.0,3.4
0.03831186849557289,8.564594401948659,6.4623245533843585,3.7695040168891154,-0.7780237956276018,,1110.0,217.0,173.0,3.4
0.04916620262745643,5.767157775026622,3.4728088129404027,2.1889794252885335,-0.25095310287009054,,1175.0,231.0,175.0,3.4
0.06309573444801933,3.5499721549763676,2.543911834340011,1.0852110299112139,-0.06207012443972946,,1037.0,193.0,142.0,3.4
0.0031622776601683794,77.14141603142855,58.771490101139406,104.09782377212368,-23.013200634612463,,44.0,34.0,3.0,3.6
0.004058198942243799,60.635267867015756,49.55414959890703,28.458346266320888,-1.6802486515458892,,50.0,35.0,6.0,3.6
0.005207948328595465,51.23644060228969,51.786388251510026,33.71564206139838,4.852119856592956,,50.0,57.0,7.0,3.6
0.006683439175686149,51.911843566596225,46.359877992149876,27.025191763884926,1.10979634036641,,92.0,68.0,7.0,3.6
0.008576958985908946,39.779644686967366,37.669340605324194,28.074507952011913,-2.62322627624579,,99.0,89.0,13.0,3.6
0.011006941712522098,34.352450652999124,29.85496205538293,16.633044960535543,3.098782789175715,,143.0,115.0,15.0,3.6
0.01412537544622754,27.687713790902958,28.376363968338644,10.523678755895105,0.6753964551433811,,144.0,143.0,19.0,3.6
0.018127308811846987,25.570126794796163,23.406014250325715,17.817759497505346,-3.7436750876371434,,194.0,182.0,24.0,3.6
0.02326305067153626,19.74162397087619,18.8047773680737,10.420875323824161,1.6274786460023423,,285.0,244.0,32.0,3.6
0.029853826189179603,15.41813753578686,14.045168449235156,7.318130479841473,2.0699217281744815,,317.0,303.0,40.0,3.6
0.03831186849557289,10.059285261696921,9.449935940408645,3.7278145847770685,0.17037019069980044,,382.0,353.0,48.0,3.6
0.04916620262745643,7.380279390822996,7.47142134247142,1.867179887160401,-0.5566128079100925,,420.0,370.0,50.0,3.6
0.06309573444801933,3.8009554139143815,8.729283443719634,0.5676104140881529,-0.22798899565958947,,396.0,292.0,44.0,3.6
0.0031622776601683794,86.37205141282912,93.27217768192872,50.33515054560896,5.420628626512566,55.287507274949824,83.0,17.0,15.0,3.8
0.004058198942243799,80.59860247859297,94.56483200860728,41.613178381252936,-3.761906682392542,50.85517269802315,87.0,29.0,15.0,3.8
0.005207948328595465,69.74671130319854,58.22379945416485,17.473700168519095,11.498301404821882,27.426806419377062,103.0,37.0,29.0,3.8
0.006683439175686149,59.629570038894606,51.95443469911717,37.603262032800934,-7.770212597544915,28.981196716142467,175.0,47.0,20.0,3.8
0.008576958985908946,51.352667281489445,47.940594181744686,24.837711737158124,3.3935160572256957,26.560611722120395,184.0,55.0,43.0,3.8
