# zLya k PLya stat Pnoise PSB
3 0.005962 28.5049 0.354898 3.76545 1.02982
3 0.006504 25.745 0.307408 3.88825 1.01273
3 0.007046 23.9139 0.300005 4.0661 1.02445
3 0.007588 25.1069 0.33769 4.23822 1.05838
3 0.00813 24.3878 0.316426 4.41781 1.10812
3 0.008672 22.9328 0.301487 4.63474 1.16754
3 0.009214 21.3689 0.356324 4.73356 1.23106
3 0.009756 20.4227 0.276741 5.05984 1.2937
3 0.010298 20.9252 0.279113 5.35213 1.35129
3 0.01084 20.387 0.281402 5.68746 1.40051
3 0.011382 19.9484 0.287301 6.04707 1.43901
3 0.011924 18.6107 0.275854 6.47575 1.46549
3 0.012466 17.6928 0.269453 6.94782 1.47966
3 0.013008 17.0957 0.27293 7.46792 1.48233
3 0.01355 17.6405 0.284704 8.07162 1.47534
3 0.014092 15.9344 0.272686 8.73929 1.46151
3 0.014634 15.8843 0.284437 9.49737 1.4446
3 0.015176 15.1308 0.285058 10.3549 1.42915
3 0.015718 14.7441 0.300032 11.3276 1.42035
3 0.01626 14.4294 0.312036 12.442 1.42387
3 0.016802 13.6507 0.295679 13.6989 1.44561
3 0.017344 14.0091 0.342382 15.3093 1.49149
3 0.017886 12.4281 0.338371 16.9942 1.56713
3 0.018428 12.4917 0.379639 18.9155 1.67752
3 0.01897 11.5285 0.380928 21.1522 1.82662
3 0.019512 11.8433 0.412841 23.8032 2.017
3.2 0.001084 57.4098 0.887821 3.59185 3.79499
3.2 0.001626 48.6611 0.713156 3.62327 3.23198
3.2 0.002168 50.6059 0.741552 3.65186 2.73758
3.2 0.00271 48.5585 0.716859 3.70322 2.31392
3.2 0.003252 45.4835 0.663774 3.76463 1.96078
3.2 0.003794 40.2885 0.59479 3.84145 1.67596
3.2 0.004336 37.3993 0.55122 3.9262 1.4556
3.2 0.004878 37.2764 0.555172 4.02304 1.29454
3.2 0.00542 36.9344 0.514517 4.17466 1.1866
3.2 0.005962 34.1719 0.509063 4.28842 1.1249
3.2 0.006504 32.134 0.460536 4.49231 1.10212
3.2 0.007046 30.6109 0.475491 4.62978 1.11077
3.2 0.007588 30.4016 0.469184 4.8613 1.14339
3.2 0.00813 28.7851 0.449957 5.03267 1.19281
3.2 0.008672 28.0072 0.444837 5.26614 1.25232
3.2 0.009214 27.1146 0.550638 5.51053 1.3158
3.2 0.009756 25.0833 0.415481 5.73435 1.37796
3.2 0.010298 24.7961 0.414001 6.04592 1.43435
3.2 0.01084 25.1434 0.425278 6.40633 1.48155
3.2 0.011382 24 0.407506 6.82633 1.51717
3.2 0.011924 22.851 0.404954 7.26578 1.53995
3.2 0.012466 21.4089 0.395889 7.75939 1.54974
3.2 0.013008 20.3878 0.388402 8.3528 1.54749
