# continuum noise resolution SB linemask DLAmask DLAcompleteness BALcompleteness
0.637545 0.0689635 0.0122348 0.0502541 0 0.0407434 1.17646 0.439577
0.460858 0.0695668 0.0233363 0.045384 0 0.0220884 0.679261 0.248393
0.437923 0.0701157 0.0431529 0.0406131 0 0.0113397 0.541099 0.19374
0.396397 0.0711019 0.064714 0.0361482 0 0.000919344 0.424036 0.148722
0.356427 0.0722809 0.0873125 0.0321612 0 0.00740202 0.337752 0.116086
0.30631 0.0737558 0.105305 0.0287862 0 0.0129797 0.261573 0.0881378
0.277795 0.0753831 0.127729 0.0261183 0 0.0172254 0.216636 0.0715901
0.271804 0.0772424 0.161198 0.0242136 0 0.0215906 0.195629 0.0634264
0.265287 0.0801536 0.197284 0.0230904 0 0.0250882 0.177748 0.0565601
0.242398 0.0823378 0.220983 0.022732 0 0.0260385 0.152276 0.0475724
0.225555 0.0862523 0.247456 0.0230903 0 0.0266263 0.133652 0.0410074
0.21294 0.0888917 0.276837 0.0240898 0 0.026948 0.119626 0.0360589
0.209846 0.093337 0.319099 0.0256329 0 0.0279215 0.112259 0.0332542
0.197344 0.0966272 0.347104 0.0276056 0 0.0271754 0.100917 0.029387
0.190866 0.10111 0.384572 0.0298834 0 0.0268459 0.0936157 0.0268058
0.183806 0.105802 0.42068 0.0323373 0 0.026112 0.0867244 0.0244249
0.169232 0.1101 0.436703 0.0348402 0 0.024049 0.0770142 0.0213398
0.166584 0.116082 0.481479 0.0372735 0 0.0234819 0.0732905 0.0199852
0.168268 0.123001 0.541531 0.0395324 0 0.0233566 0.0717233 0.0192519
0.160055 0.131066 0.570511 0.041532 0 0.0217395 0.0662216 0.0175013
0.151908 0.139503 0.596849 0.0432121 0 0.0200827 0.0611124 0.015906
0.141906 0.14898 0.61191 0.0445417 0 0.0181824 0.0555972 0.0142543
0.134776 0.160374 0.635298 0.0455224 0 0.0166844 0.0514978 0.0130088
0.141335 0.172292 0.725634 0.0461912 0 0.0168733 0.0527377 0.0131287
0.13826 0.186112 0.770583 0.0466214 0 0.0159132 0.0504412 0.0123775
