# Observed Ly-alpha forest Statistics extracted from KODIAQ-DR2 Sample
# Column-00 -->> Mean Redshift of the statistics [zmin,zmax] = [zmean-0.1, zmean+0.1]
# Column-01 -->> Wavelet Scale (sn) in km/s
# Column-02 -->> Log10  of the Wavelet amplitude
# Column-03 -->> Normalized probability distribution function of log-wavelet amplitude
# Column-04 -->> Unicertainty (1 sigma) in PDF of log-wavelet amplitude
# 
2.00	 50.00	 -3.6250e+00	 3.1040e-02	 2.5094e-02
2.00	 50.00	 -3.3750e+00	 5.1674e-02	 3.9088e-02
2.00	 50.00	 -3.1250e+00	 8.3722e-02	 5.8046e-02
2.00	 50.00	 -2.8750e+00	 1.2830e-01	 8.0189e-02
2.00	 50.00	 -2.6250e+00	 1.8516e-01	 9.6718e-02
2.00	 50.00	 -2.3750e+00	 2.4172e-01	 9.8304e-02
2.00	 50.00	 -2.1250e+00	 3.0599e-01	 9.2683e-02
2.00	 50.00	 -1.8750e+00	 3.7952e-01	 8.7285e-02
2.00	 50.00	 -1.6250e+00	 4.5799e-01	 8.2288e-02
2.00	 50.00	 -1.3750e+00	 5.2240e-01	 9.9185e-02
2.00	 50.00	 -1.1250e+00	 5.3345e-01	 1.2287e-01
2.00	 50.00	 -8.7500e-01	 4.5960e-01	 1.3957e-01
2.00	 50.00	 -6.2500e-01	 3.1492e-01	 1.3503e-01
2.00	 50.00	 -3.7500e-01	 1.6930e-01	 9.4349e-02
2.00	 50.00	 -1.2500e-01	 6.7254e-02	 4.2821e-02
2.00	 50.00	 1.2500e-01	 2.1352e-02	 1.5752e-02
2.00	 50.00	 3.7500e-01	 5.2690e-03	 5.3239e-03
2.00	 50.00	 6.2500e-01	 6.3927e-04	 1.4285e-03
2.00	 50.00	 8.7500e-01	 2.0872e-05	 6.6949e-05
2.00	 50.00	 1.1250e+00	 5.7213e-08	 1.8354e-07
2.00	 60.00	 -9.1250e+00	 1.0998e-09	 4.0677e-09
2.00	 60.00	 -8.8750e+00	 7.5800e-07	 2.8036e-06
2.00	 60.00	 -8.6250e+00	 1.4366e-05	 5.3134e-05
2.00	 60.00	 -8.3750e+00	 7.4865e-06	 2.7690e-05
2.00	 60.00	 -8.1250e+00	 1.0728e-07	 3.9680e-07
2.00	 60.00	 -7.6250e+00	 1.5459e-10	 5.7179e-10
2.00	 60.00	 -7.3750e+00	 2.1540e-08	 7.9669e-08
2.00	 60.00	 -7.1250e+00	 7.6219e-07	 2.8177e-06
2.00	 60.00	 -6.8750e+00	 6.9213e-06	 2.5289e-05
2.00	 60.00	 -6.6250e+00	 1.8633e-05	 5.7936e-05
